"","web-scraper-order","web-scraper-start-url","link","link-href","Caffeine","Flavor","Description","Ingredients","item_ID","Steeping","Image-src","Price","Name","Type","ID","Category","V4","Origin","Availability","Time","Color","Link","Link-href","Benefits","Pagination","pagination"
"1130","1636396237-831","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"Genuine Yerba Mate in its natural form - a great pick-me-up herbal drink. This herbal tea is appreciated in South American countries as a healthy, energizing social beverage. Over the past few years, it has been gaining an audience in North America. It has the ability to provide energy, without the jitteriness that coffee can cause.","Ingredients: Yerba Mate from Brazil",NA,NA,"https://theteahaus.com/551-home_default/yerba-mate-organic.jpg","$4.75","Yerba Mate Organic",NA,NA,NA,NA,NA,NA,"Recommended: During the day, or the evenings you have to work late",NA,"Yerba Mate Organic","https://theteahaus.com/herbal-decaf/yerba-mate-organic.html",NA,"https://theteahaus.com/all-teas/?page=6",NA
"1131","1636397210-929","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"Certified Organic. Our Kabuse No. 1 is an exceptional first flush Japanese Sencha of the May harvest. It has a full, rich and active aroma. The infusion is fluorescent green with a wonderful fresh scent. The tea is grown in the southern part of Japan. The tea bushes are covered with special nets (Kabuse or Komo). The nets permit only some of the sunlight to reach the plant. Production of shaded tea comes very close to the natural light conditions of the wild tea plant. The tea develops more active substances and a distinct fresh and highly aromatic scent.","Ingredients: shaded green tea from Japan, certified organic",NA,NA,"https://theteahaus.com/116-home_default/kabuse-no-1.jpg","$28.00","Kabuse No 1",NA,NA,NA,NA,NA,NA,"Recommended: late morning and afternoons, after meals",NA,"Kabuse No 1","https://theteahaus.com/organic-teas/kabuse-no-1.html",NA,"https://theteahaus.com/all-teas/?page=17",NA
"1132","1636397337-950","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"Just about every fruit you can imagine makes up this wonderful fruit tisane.  The secret is in the blueberry and cranberry combination.  Makes a full-bodies tisane with hints of sweetness and just a touch of tartness.  Caffeine-free and tastes great hot or cold.","Ingredients: Apple cubes, hibiscus, rose hips, elderberries, orange peels, orange fruit, sour cherries, blueberries, cranberries, blackberries, black currant, and natural fruit flavour",NA,NA,"null","$5.50","Fruit Explosion",NA,NA,NA,NA,NA,NA,"Recommended: any time of day, makes also great iced tea",NA,"Fruit Explosion","https://theteahaus.com/herbal-decaf/fruit-explosion1.html",NA,"https://theteahaus.com/all-teas/?page=20",NA
"1133","1636401119-1012","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"Honeybush is a caffeine-free herbal infusion from South Africa. It has a smooth gentle flavour and a slightly fuller body than rooibos. Rooibos and Honeybush are popular alternatives to traditional herbal teas such as Chamomile or Peppermint.","Ingredients: Honeybush from South Africa, organically grown",NA,NA,"null","$5.25","Honeybush Tea",NA,NA,NA,NA,NA,NA,"Recommended: any time of day, especially afternoon and evenings",NA,"Honeybush Tea","https://theteahaus.com/all-teas/honeybush-teas.html",NA,"",NA
"1134","1636397417-964","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"Each ball is made with spring production green leaf scented with fresh Jasmine and only available for a few weeks per year. The long silvery leaves are carefully hand-tied in an intricate pattern that unfurls into a chrysanthemum like shape when infused. The resulting cup is at once light and profound with sweet notes of jasmine and wisps of fresh honey. Without question a tea to fall in love with. The infusion is pale green, smooth with delicate with exquisite Jasmine flavour.","Ingredients: China green tea, jasmine",NA,NA,"https://theteahaus.com/959-home_default/flowering-tea-jasmine-balls.jpg","$2.75","Flowering Tea - Jasmine Ball",NA,NA,NA,NA,NA,NA,"null",NA,"Flowering Tea - Jasmine Ball","https://theteahaus.com/green-tea/flowering-tea-jasmine-balls.html",NA,"https://theteahaus.com/all-teas/?page=21",NA
"1135","1636396297-841","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"A flavourful breakfast tea that takes milk very well. Enjoy it while listening to one of our favourite radio shows - the Vinyl Cafe on CBC radio!","Ingredients: Nilgiri, Dooars, and selected teas from India",NA,NA,"https://theteahaus.com/87-home_default/vinyl-cafe.jpg","$4.75","Vinyl Cafe",NA,NA,NA,NA,NA,NA,"Recommended Drinking Time: Vinyl Cafe is a great black tea for any time of day.",NA,"Vinyl Cafe","https://theteahaus.com/black-teas/vinyl-cafe.html",NA,"https://theteahaus.com/all-teas/?page=7",NA
"1136","1636397093-910","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"A tropical fruit blend with premium Ceylon tea that is sure to please your taste buds. An extraordinary tea, that you can easily prepare as iced tea. A great way to control the sugar content of this popular summer drink.","Ingredients: Ceylon Orange Pekoe, sunflower petals, and natural mango flavour",NA,NA,"null","$4.75","Mango Mango Black Tea",NA,NA,NA,NA,NA,NA,"Recommended Drinking Time: Mango Mango is a great black tea for any time of day.",NA,"Mango Mango Black Tea","https://theteahaus.com/black-teas/mango-mango.html",NA,"https://theteahaus.com/all-teas/?page=15",NA
"1137","1636397316-947","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"The tea's name reflects its close resemblance to pellets of gunpowder. When steeped, the tightly rolled tea pearls will gradually open, giving the cup a mellow yet strong flavour. Notes of smokiness are pronounced and subsequent infusions mellow out.","Ingredients: premium green tea from China.",NA,NA,"https://theteahaus.com/109-home_default/gunpowder.jpg","$4.75","Gunpowder",NA,NA,NA,NA,NA,NA,"Recommended Drinking Time: Gunpowder tea is a great green tea for any time of the day.",NA,"Gunpowder","https://theteahaus.com/green-tea/gunpowder.html",NA,"https://theteahaus.com/all-teas/?page=19",NA
"1138","1636396328-846","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"This premium black tea from Sri Lanka combines fresh and brisk Ceylon with the juicy and sweet flavour of ripe oranges. Ceylon tea and oranges compliment each other perfectly!","Ingredients: Ceylon Orange Pekoe, orange peel, orange blossoms, and natural orange flavour",NA,NA,"null","$4.75","Sweet Orange",NA,NA,NA,NA,NA,NA,"Recommended Drinking Time: Sweet Orange is a great black tea for any time of day.",NA,"Sweet Orange","https://theteahaus.com/black-teas/sweet-orange.html",NA,"https://theteahaus.com/all-teas/?page=8",NA
"1139","1636397642-1000","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"We have the ancient Aztecs to thank for their idea of combining chili and cocoa! Popular throughout Central and South America today, the rest of the world is steadily catching on to this delightful, exotic mix. Rich, warm and chocolatey – with a hint of spice! Try this black tea blend as is, or with milk to enhance this tea's creamy texture.","Ingredients: Ceylon orange pekoe, cacao shells, chocolate chips, red pepper, chili pepper, and natural chocolate chili-pepper flavour. Non-dairy!",NA,NA,"https://theteahaus.com/17-home_default/chili-chocolate.jpg","$5.25","Chili Chocolate",NA,NA,NA,NA,NA,NA,"Recommended Drinking Time: Chili Chocolate Tea is a great black tea for any time of the day.",NA,"Chili Chocolate","https://theteahaus.com/black-teas/chili-chocolate.html",NA,"https://theteahaus.com/all-teas/?page=25",NA
